case_no,alert_key,alert_date,alert_url,source_format,vehicle_type,last_seen,discovered_missing,window_hours,within_window,location_raw,zone_id,needs_review,narrative_text,case_source
26-0204-0008,2-16-2026,2026-02-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-16-2026.html,list,unknown,2026-02-02T16:00:00,2026-02-03T20:00:00,28.0,True,"Park West Hillside 2 - West Side Bike Racks (503 George Bush Drive West, College Station, TX 77840)",,False,,
26-0205-0003,2-16-2026,2026-02-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-16-2026.html,list,unknown,2026-02-05T11:28:00,2026-02-05T12:10:00,0.7,True,"Student Computing Center - East Side Bike Racks (400 Spence St, College Station)",,False,,
26-0206-0011,2-16-2026,2026-02-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-16-2026.html,list,unknown,2026-02-05T10:00:00,2026-02-06T17:30:00,31.5,True,"Hullabaloo Residence Hall - Bike Rack(306 University Dr, College Station)",,False,,
26-0207-0001,2-16-2026,2026-02-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-16-2026.html,list,unknown,2026-02-06T11:50:00,2026-02-06T12:15:00,0.42,True,"Adam C. Sinn '00 Academic & Wellness Center - West Side Exterior (200 John David Crow Drive, College Station, TX 77843)",,False,,
26-0209-0003,2-16-2026,2026-02-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-16-2026.html,list,unknown,2026-02-06T18:30:00,2026-02-07T16:00:00,21.5,True,"Wayne Roberts '85 Building - East Side Bike Racks (256 Olsen Boulevard, College Station, TX 77843)",,False,,
26-0209-0004,2-16-2026,2026-02-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-16-2026.html,list,unknown,2026-02-05T12:00:00,2026-02-09T11:30:00,95.5,True,"Dunn Residence Hall - Bike Racks (636 Lubbock St, College Station)",,False,,
26-0209-0007,2-16-2026,2026-02-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-16-2026.html,list,unknown,2026-02-09T00:40:00,2026-02-09T12:30:00,11.83,True,"Hobby Residence Hall - North Side Bike Racks (160 Asbury St, College Station)",,False,,
26-0209-0009,2-16-2026,2026-02-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-16-2026.html,list,unknown,2026-02-09T13:00:00,2026-02-09T17:00:00,4.0,True,"Zachry Engineering Education Complex - Bike Racks (125 Spence St, College Station)",,False,,
26-0209-0010,2-16-2026,2026-02-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-16-2026.html,list,unknown,2026-02-06T17:00:00,2026-02-09T08:00:00,63.0,True,"Hobby Residence Hall - North Side Bike Racks (160 Asbury St, College Station)",,False,,
26-0213-0002,2-16-2026,2026-02-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-16-2026.html,list,unknown,2026-02-13T00:00:00,2026-02-13T02:00:00,2.0,True,"Dunn Residence Hall - South Side Bike Racks(636 Lubbock St, College Station)",,False,,
26-0219-0013,2-22-2026,2026-02-22,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-22-2026.html,narrative,unknown,,2026-02-19T19:10:00,,,,,True,"On Feb. 19, 2026, the Texas A&M University Police Department (UPD) received a report of a stolen golf cart. The victim last observed their golf cart at the Texas A&M University Golf Course Clubhouse at 6 p.m. on Feb. 19, 2026. The victim discovered the golf cart missing at 7:10 p.m. on Feb. 19, 2026. The key was in the ignition when it was taken. The victim’s golf cart is described as white and a Club Car. This golf cart has been recovered by the Texas A&M University Police Department and returned to the owner. UPD Case Number 26-0219-0014 & 26-0219-0016. On Feb. 19, 2026, the Texas A&M University Police Department received reports of theft at the Student Recreation Center on South Campus. The victims reported that cash and a backpack containing a wallet, laptop, and Aggie Ring had been stolen from their belongings between 6 p.m. and 7:15 p.m. UPD Case Number 26-0219-0015 On Feb. 19, 2026, the Texas A&M University Police Department received a report of theft that occurred at the Student Recreation Center on West Campus. The victim reported that a wallet and cash were stolen from their belongings at approximately 7:40 p.m. Through our investigations, we have determined that these ca",
26-0217-0003,3-4-2026,2026-03-04,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/03/3-4-2026.html,list,unknown,2026-02-16T18:30:00,2026-02-17T09:50:00,15.33,True,"Park West Hillside 2 - Bike Racks (503 George Bush Drive West, College Station, TX 77840)",,False,,
26-0219-0007,3-4-2026,2026-03-04,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/03/3-4-2026.html,list,unknown,2026-02-17T21:00:00,2026-02-18T10:00:00,13.0,True,"Appelt Residence Hall - Bike Racks (660 Mosher Ln, College Station)",,False,,
26-0223-0007,3-4-2026,2026-03-04,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/03/3-4-2026.html,list,unknown,2026-02-23T14:15:00,2026-02-23T21:30:00,7.25,True,"Sterling C. Evans Library - East Side Bike Racks (400 Spence St, College Station)",,False,,
26-0227-0019,3-4-2026,2026-03-04,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/03/3-4-2026.html,list,unknown,2026-02-27T16:00:00,2026-02-27T23:00:00,7.0,True,"Zachry Engineering Education Complex - Southwest Corner Exterior (125 Spence St, College Station)",,False,,
26-0303-0008,3-17-2026,2026-03-17,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/03/3-17-2026.html,list,unknown,2026-03-03T14:00:00,2026-03-03T15:00:00,1.0,True,"Southside Recreation Center - Bike Racks (633 Bizzell St, College Station)",,False,,
26-0305-0006,3-17-2026,2026-03-17,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/03/3-17-2026.html,list,unknown,2026-03-03T14:10:00,2026-03-03T15:35:00,1.42,True,"Zachry Engineering Education Complex - Southwest Exterior (125 Spence St, College Station)",,False,,
26-0316-0007,4-1-2026,2026-04-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/04/4-1-2026.html,list,unknown,2025-11-03T16:00:00,,,,"Briggs Hall-Dorm 3 Interior Hallway (635 Military Mall, College Station)",,True,,
26-0320-0011,4-1-2026,2026-04-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/04/4-1-2026.html,list,unknown,2026-03-09T17:00:00,,,,"Park West A (503 George Bush Dr W, Ste A, College Station)",,True,,
26-0401-0001,4-1-2026,2026-04-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/04/4-1-2026.html,list,unknown,2026-03-31T20:42:00,,,,"Student Computing Center (400 Spence St, College Station)",,True,,
26-0408-0009,4-8-2026,2026-04-08,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/04/4-8-2026.html,narrative,unknown,2026-04-08T09:12:00,,,,Cavalry Court,,True,"On April 8, 2026, the Texas A&M University Police Department (UPD) received a report of a stolen vehicle. The victim parked their vehicle at Cavalry Court on April 8, 2026, at approximately 9:12 a.m. The victim noticed their vehicle was missing today, April 8, 2026, at approximately 1:20 p.m. The victim found their car at the Garden Apartment Community Center at approximately 4:30 p.m. The victim’s vehicle is described as a black 2016 Toyota Corolla. The vehicle was secured by the victim when she parked her vehicle. There was damage to the passenger side door handle. ",
26-0406-0002,4-15-2026,2026-04-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/04/4-15-2026.html,list,unknown,2026-03-26T09:30:00,2026-03-26T11:00:00,1.5,True,"Allen Building (1004 George Bush Dr W, College Station)",,False,,
26-0412-0007,4-15-2026,2026-04-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/04/4-15-2026.html,list,unknown,2026-04-12T13:00:00,2026-04-12T19:20:00,6.33,True,"Exterior Bike Racks of Zachry Engineering Education Complex (125 Spence St, College Station)",,False,,
26-0413-0002,4-15-2026,2026-04-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/04/4-15-2026.html,list,unknown,2026-04-13T12:15:00,2026-04-13T12:15:00,0.0,True,"Park West Tower 3 (503 George Bush Dr W, Ste C, College Station)",,False,,
26-0422-0002,4-22-2026,2026-04-22,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/04/4-22-2026.html,narrative,unknown,,,,,,,True,"On April 22, 2026, the Texas A&M University Police Department (UPD) received a report that a vehicle had been taken from outside the Texas A&M University National Aerothermochemistry Laboratory. The victim advised that the vehicle was parked at 9:45 p.m. on Tuesday, April 21, and was found moved and covered in mud at 7:45 a.m. this morning. There was no noticeable damage other than known wear. The victim’s vehicle is described as a green-and-yellow John Deere “Gator” with Texas A&M University vehicle numbers. ",
26-0414-0002,05-01-2026,2026-05-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/05/05-01-2026.html,list,unknown,2026-04-14T08:00:00,2026-04-14T10:26:00,2.43,True,Polo Garage,,False,,
26-0415-0004*,05-01-2026,2026-05-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/05/05-01-2026.html,list,unknown,2026-04-15T13:04:00,2026-04-15T13:04:00,0.0,True,"Rudder Tower (401 Joe Routt Bl, College Station)",,False,,
26-0415-0009,05-01-2026,2026-05-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/05/05-01-2026.html,list,unknown,2026-04-15T12:30:00,2026-04-15T15:15:00,2.75,True,"Zachry Engineering Education Complex (125 Spence St, College Station)",,False,,
26-0416-0006,05-01-2026,2026-05-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/05/05-01-2026.html,list,unknown,2026-04-15T13:45:00,2026-04-15T19:00:00,5.25,True,"Veterinary Small Animal Hospital (408 Raymond Stotzer Pw, College Station)",,False,,
26-0429-0002,05-01-2026,2026-05-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/05/05-01-2026.html,list,unknown,2026-04-28T23:30:00,2026-04-29T04:55:00,5.42,True,"Commons (676 Lubbock St, College Station)",,False,,
26-0510-0007,05-18-2026,2026-05-18,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/05/05-18-2026.html,list,unknown,2026-05-01T16:30:00,2026-05-06T18:29:00,121.98,True,"Fountain Hall-Dorm 4 (636 Military Mall, College Station)",,False,,
26-0509-0010,05-18-2026,2026-05-18,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/05/05-18-2026.html,list,unknown,2026-05-07T15:10:00,2026-05-07T16:50:00,1.67,True,"U-Centre Apartments (907 Cross ST, College Station TX)",,False,,
26-0528-0003,06-02-2026,2026-06-02,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/06/06-02-2026.html,list,unknown,2026-05-28T13:45:00,2026-05-28T13:45:00,0.0,True,"Bike racks outside of Zachry Engineering Education Complex (125 Spence St, College Station)",,False,,
26-0522-0001,06-02-2026,2026-06-02,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/06/06-02-2026.html,list,unknown,2026-05-22T02:30:00,2026-05-22T02:30:00,0.0,True,McDonalds (801 UNIVERSITY DR COLLEGE STATION TX),,False,,
26-0519-0002,06-02-2026,2026-06-02,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/06/06-02-2026.html,list,unknown,2026-05-19T08:15:00,2026-05-19T08:15:00,0.0,True,"Alley between Peterson Building and Evan Library Annex (435 Nagle St, College Station)",,False,,
26-0527-0003,06-18-2026,2026-06-18,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/06/06-18-2026.html,list,unknown,2026-05-27T11:05:00,2026-05-27T11:05:00,0.0,True,"Bike racks east of Wisenbaker Engineering Building (188 Bizzell St, College Station)",,False,,
26-0602-0001,06-18-2026,2026-06-18,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/06/06-18-2026.html,list,unknown,2026-06-01T20:30:00,2026-06-02T00:00:00,3.5,True,"Exterior Bike Rack of Emerging Technologies Building (101 Bizzell St, College Station)",,False,,
26-0611-0009,06-18-2026,2026-06-18,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/06/06-18-2026.html,list,unknown,2026-06-11T18:57:00,2026-06-11T18:57:00,0.0,True,"Zachry Engineering Education Complex (125 Spence St, College Station)",,False,,
26-0611-0009*,06-18-2026,2026-06-18,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/06/06-18-2026.html,list,unknown,2026-06-11T18:57:00,2026-06-11T18:57:00,0.0,True,"Sbisa Dining Hall (233 Houston St, College Station)",,False,,
26-0611-0010,06-18-2026,2026-06-18,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/06/06-18-2026.html,list,unknown,2026-06-11T14:00:00,2026-06-11T18:20:00,4.33,True,"Bright Building (710 Ross St, College Station)",,False,,
26-0614-0006,06-18-2026,2026-06-18,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/06/06-18-2026.html,list,unknown,2026-06-14T16:27:00,2026-06-14T16:27:00,0.0,True,"Zachry Engineering Education Complex (125 Spence St, College Station)",,False,,
26-0614-0007,06-18-2026,2026-06-18,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/06/06-18-2026.html,list,unknown,2026-06-14T12:00:00,2026-06-14T17:30:00,5.5,True,"Memorial Student Center (275 Joe Routt Bl, College Station)",,False,,
26-0614-0009,06-18-2026,2026-06-18,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/06/06-18-2026.html,list,unknown,2026-06-14T09:04:00,2026-06-14T17:45:00,8.68,True,"Blaze Pizza (143 Century Square, College Station TX)",,False,,
26-0616-0003,06-18-2026,2026-06-18,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/06/06-18-2026.html,list,unknown,2026-06-16T05:47:00,2026-06-16T06:37:00,0.83,True,"Zachry Engineering Education Complex (125 Spence St, College Station)",,False,,
26-0625-0011,07-01-2026,2026-07-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/07/07-01-2026.html,list,unknown,,,,,"Mitchell Physics Building (578 University Dr, College Station)",,True,,
26-0622-0001,07-01-2026,2026-07-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/07/07-01-2026.html,list,unknown,,,,,"Garden Apartments, Building G, (250 Calvin Moore Dr, College Station TX)",,True,,
26-0619-0008,07-01-2026,2026-07-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/07/07-01-2026.html,list,unknown,,,,,"Zachry Engineering Education Complex (125 Spence St, College Station)",,True,,
26-0630-0006,clery-26-0630-0006,6/30/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,bike,2026-06-30T09:00:00,2026-06-30T12:30:00,3.5,True,"Koldus Building (400 Joe Routt Bl, College Station)",,False,Theft of Property $100<$750 (Electronic Bike) / Clery Motor Vehicle Theft -- Unfounded,UPD
26-0715-0004,clery-26-0715-0004,7/15/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,ebike,2026-05-14T10:30:00,2026-07-11T14:45:00,1396.25,False,"Park West Tower 3 (503 George Bush Dr, College Station TX)",,False,Clery- Motor Vehicle Theft/ Theft of Property >=$100<$750 (Electric Bicycle) -- Active,UPD
26-0702-0004,clery-26-0702-0004,7/2/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,bike,2026-06-09T14:00:00,2026-07-02T14:00:00,552.0,False,"White Creek Apartments B (225 Discovery Dr, College Station)",,False,Theft of Property $100<$750 (Bicycles) -- Active,UPD
26-0720-0001,clery-26-0720-0001,7/20/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,ebike,2026-07-20T05:46:00,2026-07-20T05:46:00,0.0,True,"Bike racks outside of Zachry Engineering Education Complex (125 Spence St, College Station)",,False,Clery- Motor Vehicle Theft/ Theft of Property >=$100<$750 (Electric Bike) -- Active,UPD
26-0720-0005,clery-26-0720-0005,7/20/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,ebike,2026-07-20T11:55:00,2026-07-20T11:55:00,0.0,True,"Bike racks outside of Reed Arena (730 Olsen Bl, College Station)",,False,Attempted Clery- Motor Vehicle Theft/ Theft of Property >=$2500 <$30K (Electric Bike) -- Active,UPD
26-0721-0007,clery-26-0721-0007,7/21/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,ebike,2026-07-21T16:42:00,2026-07-21T16:42:00,0.0,True,"Park West, Hillside 2, (503 George Bush Dr W, Ste B, College Station)",,False,Clery- Motor Vehicle Theft/ Theft of Property >=$100<$750 (Electric Bike) -- Active,UPD
26-0723-0003,clery-26-0723-0003,7/23/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,ebike,2026-05-08T12:00:00,2026-07-18T13:00:00,1705.0,False,"Bike Rack outside Polo Road Garage (300 Polo Road, College Station)",,False,Clery- Motor Vehicle Theft/ Theft of Property >=$100<$750 (Electric Bicycle -- Active,UPD
26-0729-0006,clery-26-0729-0006,7/29/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,bike,2026-07-29T15:22:00,2026-07-29T15:22:00,0.0,True,"Park West, outside of Hillside 5 (503 George Bush Dr W, Ste E, College Station)",,False,Theft of Property >=$100<$750 (Bicycle) -- Active,UPD
26-0706-0002,clery-26-0706-0002,7/6/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,bike,2026-07-02T12:00:00,2026-07-05T21:00:00,81.0,True,"U-Centre (907 Cross St, College station TX)",,False,Theft of Property $100<$750 (Bicycles) -- Active,UPD
26-0801-0003,clery-26-0801-0003,8/1/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,bike,2026-07-12T16:00:00,2026-07-19T16:00:00,168.0,True,"100 Park (170 Century Square Dr, College Station)",,False,Theft >=$100<$750 (Bicycle) -- Active,UPD
26-0824-0005,clery-26-0824-0005,8/24/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,bike,2026-07-15T12:00:00,2026-08-17T23:59:00,803.98,False,"Park West A (503 George Bush Dr W, College Station)",,False,Theft >=$100<$750 (Bicycle) -- Active,UPD
26-0808-0006,clery-26-0808-0006,8/8/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,ebike,2026-08-07T18:00:00,2026-08-08T10:00:00,16.0,True,"White Creek Apartments (225 Discovery Dr, College Station)",,False,"Clery- Motor Vehicle Theft/ Theft of Property>=$750<$2,500 (Electric Bicycle) -- Active",UPD
,4-20-2025,2025-04-20,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/04/4-20-2025.html,narrative,unknown,2025-04-16T16:30:00,,,,P arking A rea 23,,True,"On April 20 , 2025, at approximately 6:50 a.m. , the Texas A&M University Police Department (UPD) located a stolen moped on the sidewalk near Scoates Hall. The victim parked h is moped , a black 150cc Focus , in P arking A rea 23 on April 16, 2025, at 4 : 30 p. m. The victim did not realize the moped had been stolen until he was contacted by police this morning. ",
